,Neighborhood,Price,Number of Beds,Number of Baths
1538,"Oak Square, Brighton, Boston","$2,295",2 Bed,1 Bath
1539,"Columbus Park - Andrew Square, South Boston, Boston","$3,000",2 Bed,2 Bath
1540,"Commonwealth, Brighton, Boston","$1,750",1 Bed,1 Bath
1541,"Lower Roxbury, Roxbury, Boston","$6,250",5 Bed,2 Bath
1542,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,850",Studio,1 Bath
1543,"Downtown Boston, Boston","$2,889",Studio,1 Bath
1544,"Downtown Boston, Boston","$2,815",1 Bed,1 Bath
1545,"Oak Square, Brighton, Boston","$2,800",3 Bed,2 Bath
1546,"Mid-Cambridge, Cambridge","$3,195",3 Bed,1 Bath
1547,"Oak Square, Brighton, Newton","$3,500",3 Bed,2 Bath
1548,"Allston, Boston","$2,299",3 Bed,1 Bath
1549,"Coolidge Corner, Brookline","$4,500",4 Bed,2 Bath
1550,"Jeffries Point - Airport, East Boston, Boston","$4,200",5 Bed,3 Bath
1551,"Powder House, Somerville","$4,000",4 Bed,1 Bath
1552,"Oak Square, Brighton, Boston","$2,550",3 Bed,1 Bath
1553,"St. Elizabeth's, Brighton, Boston","$2,350",2 Bed,1 Bath
1554,"Commonwealth, Brighton, Boston","$1,825",1 Bed,1 Bath
1555,"Central Maverick Square - Paris Street, East Boston, Boston","$2,200",2 Bed,1 Bath
1556,"Commonwealth, Brighton, Boston","$1,825",1 Bed,1 Bath
1557,"Commonwealth, Brighton, Boston","$3,600",4 Bed,2 Bath
1558,"Commonwealth, Brighton, Boston","$2,175",2 Bed,1 Bath
1559,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,700",1 Bed,1 Bath
1560,"Coolidge Corner, Brookline","$3,150",2 Bed,1 Bath
1561,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$1,850",Studio,1 Bath
1562,"Downtown Boston, Boston","$2,889",Studio,1 Bath
1563,"Downtown Boston, Boston","$2,815",1 Bed,1 Bath
1564,"Downtown Boston, Boston","$3,795",2 Bed,2 Bath
1565,"Commonwealth, Brighton, Boston","$3,200",4 Bed,1 Bath
1566,"Powder House, Somerville","$3,900",3 Bed,1 Bath
1567,"Coolidge Corner, Boston","$2,750",2 Bed,1 Bath
1568,"Lower Roxbury, Roxbury, Boston","$6,199",5 Bed,2 Bath
1569,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,000",1 Bed,1 Bath
1570,"Coolidge Corner, Brookline","$2,800",2 Bed,1 Bath
1571,"St. Elizabeth's, Brighton, Boston","$3,600",4 Bed,2 Bath
1572,"Oak Square, Brighton, Boston","$5,100",6 Bed,3 Bath
1573,"Egleston Square, Jamaica Plain, Boston","$4,000",5 Bed,2 Bath
1574,"Prudential - St. Botolph, Back Bay, Boston","$3,300",2 Bed,1 Bath
1575,"Winter Hill, Somerville","$4,000",4 Bed,2 Bath
1576,"Coolidge Corner, Brookline","$8,800",5 Bed,3.5 Bath
1577,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,300",3 Bed,1 Bath
1578,"Neighborhood Nine, Cambridge","$4,400",4 Bed,1 Bath
1579,"Oak Square, Brighton, Boston","$3,300",4 Bed,2 Bath
1580,"Central Maverick Square - Paris Street, East Boston, Boston","$3,200",4 Bed,1 Bath
1581,"Downtown Boston, Boston","$2,889",Studio,1 Bath
1582,"Downtown Boston, Boston","$2,815",1 Bed,1 Bath
1583,"Downtown Boston, Boston","$3,795",2 Bed,2 Bath
1584,"Downtown Boston, Boston","$5,225",2 Bed,2 Bath
1585,"Commonwealth, Brighton, Boston","$2,450",3 Bed,1 Bath
1586,"Coolidge Corner, Brookline","$5,500",5 Bed,2 Bath
1587,"Coolidge Corner, Brookline","$7,200",6 Bed,3 Bath
1588,"Downtown Boston, Boston","$2,900",1 Bed,1 Bath
1589,"Lower Roxbury, Roxbury, Boston","$2,450",2 Bed,1 Bath
1590,"Oak Square, Brighton, Boston","$2,900",3 Bed,2 Bath
1591,"Medford Hillside, Medford","$6,200",6 Bed,2 Bath
1592,"Medford Hillside, Medford","$5,200",6 Bed,2 Bath
1593,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,575",1 Bed,1 Bath
1594,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,750",3 Bed,1 Bath
1595,"Forest Hills - Woodbourne, Jamaica Plain, Boston","$3,200",2 Bed,2 Bath
1596,"Neighborhood Nine, Cambridge","$3,000",3 Bed,1 Bath
1597,"Washington Square, Brookline","$2,395",2 Bed,1 Bath
1598,"Oak Square, Brighton, Boston","$3,200",4 Bed,2 Bath
1599,"Coolidge Corner, Brookline","$8,800",5 Bed,3.5 Bath
1600,"North Allston, Allston, Boston","$5,595",5 Bed,3 Bath
1601,"Downtown Boston, Boston","$3,015",1 Bed,1 Bath
1602,"Allston, Boston","$3,515",2 Bed,1 Bath
1603,"Oak Square, Brighton, Boston","$2,600",3 Bed,2 Bath
1604,"Mission Hill, Boston","$3,400",3 Bed,1 Bath
1605,"Commonwealth, Brighton, Boston","$3,000",3 Bed,1 Bath
1606,"Commonwealth, Brighton, Boston","$2,550",2 Bed,2 Bath
1607,"Newton Corner, Watertown","$3,105",2 Bed,2 Bath
1608,"Cleveland Circle, Brookline","$3,400",3 Bed,2 Bath
1609,"Commonwealth, Brighton, Boston","$2,000",2 Bed,1 Bath
1610,"Highland Park, Roxbury, Boston","$2,500",3 Bed,1 Bath
1611,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,400",3 Bed,2 Bath
1612,"Commonwealth, Brighton, Boston","$6,600",6 Bed,3 Bath
1613,"Jeffries Point - Airport, East Boston, Boston","$2,850",3 Bed,1 Bath
1614,"Forest Hills - Woodbourne, Jamaica Plain, Boston","$2,625",3 Bed,1 Bath
1615,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,830",2 Bed,2 Bath
1616,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,780",1 Bed,1 Bath
1617,"East Somerville, Somerville","$3,475",4 Bed,1 Bath
1618,"Shawmut, South End, Boston","$4,250",2 Bed,1 Bath
1619,"Coolidge Corner, Brookline","$3,275",1 Bed,2 Bath
1620,"East Watertown, Watertown","$2,100",2 Bed,1 Bath
1621,"Downtown Boston, Boston","$3,015",1 Bed,1 Bath
1622,"Allston, Boston","$3,515",2 Bed,1 Bath
1623,"Lower Roxbury, Roxbury, Boston","$6,000",5 Bed,1.5 Bath
1624,"Central Maverick Square - Paris Street, East Boston, Boston","$2,800",3 Bed,2 Bath
1625,"Oak Square, Brighton, Boston","$2,700",3 Bed,2 Bath
1626,"Oak Square, Brighton, Boston","$3,175",3 Bed,4 Bath
1627,"Allston, Boston","$4,200",4 Bed,2 Bath
1628,"Mission Hill, Boston","$2,150",2 Bed,1 Bath
1629,"Mission Hill, Boston","$3,000",3 Bed,1 Bath
1630,"Mid-Cambridge, Cambridge","$2,500",2 Bed,1 Bath
1631,"Commonwealth, Brighton, Boston","$2,000",2 Bed,1 Bath
1632,"Coolidge Corner, Brookline","$4,900",4 Bed,2 Bath
1633,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,395",1 Bed,1 Bath
1634,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,400",1 Bed,1 Bath
1635,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,550",2 Bed,1 Bath
1636,"Forest Hills - Woodbourne, Jamaica Plain, Boston","$3,400",3 Bed,2 Bath
1637,"Highland Park, Roxbury, Boston","$2,700",3 Bed,1.5 Bath
1638,"Allston, Boston","$5,500",6 Bed,2 Bath
1639,"Mission Hill, Boston","$4,700",4 Bed,2 Bath
1640,"Commonwealth, Brighton, Boston","$1,850",1 Bed,1 Bath
1641,"Downtown Boston, Boston","$3,015",1 Bed,1 Bath
1642,"Allston, Boston","$3,515",2 Bed,1 Bath
1643,"Egleston Square, Jamaica Plain, Boston","$3,450",4 Bed,1 Bath
1644,"Downtown Boston, Boston","$3,115",1 Bed,1.5 Bath
1645,"Back Bay East, Back Bay, Boston","$3,700",2 Bed,1 Bath
1646,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,300",3 Bed,1 Bath
1647,"Downtown Boston, Boston","$5,018",2 Bed,2 Bath
1648,"Allston, Boston","$3,620",4 Bed,2 Bath
1649,"Commonwealth, Brighton, Boston","$2,700",3 Bed,1 Bath
1650,"Columbus, South End, Boston","$6,400",4 Bed,2 Bath
1651,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,200",1 Bed,1 Bath
1652,"Thompsonville, Newton","$4,125",3 Bed,2 Bath
1653,"Jeffries Point - Airport, East Boston, Boston","$2,525",3 Bed,1 Bath
1654,"Commonwealth, Brighton, Boston","$2,200",2 Bed,1 Bath
1655,"D Street - West Broadway, South Boston, Boston","$2,950",2 Bed,2.5 Bath
1656,"Allston, Boston","$3,700",4 Bed,2 Bath
1657,"Lower Roxbury, Roxbury, Boston","$3,750",5 Bed,1.5 Bath
1658,"Commonwealth, Brighton, Boston","$2,625",3 Bed,2 Bath
1659,"Bank Square, Waltham","$2,700",3 Bed,2 Bath
1660,"Cambridge Highlands, Cambridge","$2,400",1 Bed,1 Bath
1661,"Mission Hill, Boston","$2,295",2 Bed,1 Bath
1662,"Egleston Square, Jamaica Plain, Boston","$3,450",4 Bed,1 Bath
1663,"Downtown Boston, Boston","$3,115",1 Bed,1.5 Bath
1664,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,600",1 Bed,1 Bath
1665,"Dudley - Brunswick King, Roxbury, Boston","$1,900",3 Bed,1 Bath
1666,"North End, Boston","$2,400",2 Bed,1 Bath
1667,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,999",2 Bed,1 Bath
1668,"Cambridge Highlands, Cambridge","$2,500",1 Bed,1 Bath
1669,"North Allston, Allston, Boston","$2,700",3 Bed,1 Bath
1670,"North Allston, Allston, Boston","$4,000",5 Bed,2 Bath
1671,"Mission Hill, Boston","$6,600",6 Bed,2 Bath
1672,"Lower Roxbury, Roxbury, Boston","$4,200",3 Bed,1 Bath
1673,"Commonwealth, Brighton, Boston","$4,200",5 Bed,2 Bath
1674,"Prudential - St. Botolph, Back Bay, Boston","$6,191",3 Bed,2 Bath
1675,"Mid-Cambridge, Cambridge","$2,600",1 Bed,1 Bath
1676,"Oak Square, Brighton, Boston","$4,400",5 Bed,2 Bath
1677,"Allston, Boston","$3,000",4 Bed,2 Bath
1678,"Oak Square, Brighton, Boston","$4,100",4 Bed,3 Bath
1679,"Washington Square, Brookline","$6,500",4 Bed,3 Bath
1680,"Downtown Boston, Boston","$6,150",2 Bed,2 Bath
1681,"Mission Hill, Boston","$2,295",2 Bed,1 Bath
1682,"Egleston Square, Jamaica Plain, Boston","$3,450",4 Bed,1 Bath
1683,"Downtown Boston, Boston","$3,115",1 Bed,1.5 Bath
1684,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,600",1 Bed,1 Bath
1685,"Dudley - Brunswick King, Roxbury, Boston","$1,900",3 Bed,1 Bath
1686,"North End, Boston","$2,400",2 Bed,1 Bath
1687,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,999",2 Bed,1 Bath
1688,"Cambridgeport, Cambridge","$3,600",3 Bed,1.5 Bath
1689,"Commonwealth, Brighton, Boston","$1,750",1 Bed,1 Bath
1690,"Oak Square, Brighton, Boston","$3,700",2 Bed,2 Bath
1691,"Coolidge Corner, Brookline","$6,300",4 Bed,4 Bath
1692,"Eagle Hill, East Boston, Boston","$1,950",1 Bed,1 Bath
1693,"Coolidge Corner, Boston","$1,725",1 Bed,1 Bath
1694,"Central Maverick Square - Paris Street, East Boston, Boston","$2,700",3 Bed,1 Bath
1695,"Back Bay West, Back Bay, Boston","$2,500",1 Bed,2 Bath
1696,"Allston, Boston","$4,500",5 Bed,3 Bath
1697,"Mid-Cambridge, Cambridge","$2,950",1 Bed,1 Bath
1698,"Highland Park, Roxbury, Boston","$3,400",3 Bed,1 Bath
1699,"Hyde Square, Jamaica Plain, Boston","$2,750",3 Bed,1 Bath
1700,"Mid-Cambridge, Cambridge","$7,450",6 Bed,3.5 Bath
1701,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,600",1 Bed,1 Bath
1702,"Oak Square, Brighton, Boston","$1,475",Studio,1 Bath
1703,"Dudley - Brunswick King, Roxbury, Boston","$1,900",3 Bed,1 Bath
1704,"North End, Boston","$2,400",2 Bed,1 Bath
1705,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,999",2 Bed,1 Bath
1706,"Oak Square, Brighton, Boston","$3,700",2 Bed,2 Bath
1707,"Cambridgeport, Cambridge","$3,600",3 Bed,1.5 Bath
1708,"Watertown West End, Watertown","$2,500",3 Bed,1 Bath
1709,"Eagle Hill, East Boston, Boston","$3,400",4 Bed,1.5 Bath
1710,"Braintree Highlands, Braintree Town","$1,675",2 Bed,1 Bath
1711,"Chinatown - Leather District, Boston","$3,023",1 Bed,1 Bath
1712,"Egleston Square, Jamaica Plain, Boston","$2,595",2 Bed,1 Bath
1713,"Beacon Hill, Boston","$4,400",3 Bed,1 Bath
1714,"Hyde Square, Jamaica Plain, Boston","$3,600",4 Bed,2 Bath
1715,"St. Elizabeth's, Brighton, Boston","$5,500",6 Bed,2 Bath
1716,"Oak Square, Brighton, Boston","$4,100",4 Bed,3 Bath
1717,"St. Elizabeth's, Brighton, Boston","$3,150",5 Bed,1.5 Bath
1718,"Allston, Boston","$4,600",4 Bed,2 Bath
1719,"Allston, Boston","$2,050",2 Bed,1 Bath
1720,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,950",3 Bed,1 Bath
1721,"Cambridgeport, Cambridge","$3,600",3 Bed,1.5 Bath
1722,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,522",1 Bed,1 Bath
1723,"Coolidge Corner, Brookline","$7,500",6 Bed,5 Bath
1724,"Waterfront, North End, Boston","$4,175",2 Bed,3 Bath
1725,"Oak Square, Brighton, Boston","$5,400",5 Bed,3.5 Bath
1726,"Eagle Hill, East Boston, Boston","$3,400",4 Bed,1 Bath
1727,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,300",3 Bed,1 Bath
1728,"Coolidge Corner, Boston","$2,225",2 Bed,1 Bath
1729,"Downtown Boston, Boston","$4,310",2 Bed,2 Bath
1730,"Oak Square, Brighton, Boston","$3,150",3 Bed,2 Bath
1731,"Oak Square, Brighton, Boston","$3,300",3 Bed,3.5 Bath
1732,"Oak Square, Brighton, Boston","$3,200",4 Bed,2 Bath
1733,"Cleveland Circle, Brookline","$2,100",1 Bed,1 Bath
1734,"Oak Square, Brighton, Boston","$3,000",4 Bed,2 Bath
1735,"Central Maverick Square - Paris Street, East Boston, Boston","$2,450",3 Bed,1 Bath
1736,"Oak Square, Brighton, Boston","$5,400",5 Bed,3.5 Bath
1737,"Commonwealth, Brighton, Boston","$1,850",1 Bed,1 Bath
1738,"Coolidge Corner, Brookline","$3,300",2 Bed,1 Bath
1739,"Oak Square, Brighton, Boston","$4,800",5 Bed,2 Bath
1740,"Allston, Boston","$4,800",4 Bed,2.5 Bath
1741,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,522",1 Bed,1 Bath
1742,"Coolidge Corner, Brookline","$7,500",6 Bed,5 Bath
1743,"Waterfront, North End, Boston","$4,175",2 Bed,3 Bath
1744,"East Cambridge, Cambridge","$3,973",2 Bed,2 Bath
1745,"Lower Roxbury, Roxbury, Boston","$3,300",3 Bed,1 Bath
1746,"St. Elizabeth's, Brighton, Boston","$1,800",2 Bed,1 Bath
1747,"Allston, Boston","$3,895",5 Bed,1.5 Bath
1748,"West Somerville, Somerville","$2,175",2 Bed,1 Bath
1749,"Oak Square, Brighton, Boston","$2,840",3 Bed,2 Bath
1750,"Allston, Boston","$2,500",2 Bed,2 Bath
1751,"Newtonville, Newton","$2,300",2 Bed,1 Bath
1752,"Oak Square, Brighton, Boston","$3,900",4 Bed,1.5 Bath
1753,"Brattle, Arlington","$4,995",4 Bed,3 Bath
1754,"St. Elizabeth's, Brighton, Boston","$3,100",4 Bed,2 Bath
1755,"Newton Corner, Newton","$2,950",3 Bed,2.5 Bath
1756,"Oak Square, Brighton, Boston","$2,625",1 Bed,1 Bath
1757,"Eagle Hill, East Boston, Boston","$3,600",5 Bed,3 Bath
1758,"Oak Square, Brighton, Boston","$2,000",2 Bed,1 Bath
1759,"Commonwealth, Brighton, Boston","$2,200",2 Bed,1 Bath
1760,"North End, Boston","$2,650",1 Bed,1 Bath
1761,"Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,522",1 Bed,1 Bath
1762,"Coolidge Corner, Brookline","$7,500",6 Bed,5 Bath
1763,"Waterfront, North End, Boston","$4,175",2 Bed,3 Bath
1764,"East Cambridge, Cambridge","$3,973",2 Bed,2 Bath
1765,"Lower Roxbury, Roxbury, Boston","$3,300",3 Bed,1 Bath
1766,"Back Bay East, Back Bay, Boston","$3,200",2 Bed,1 Bath
1767,"Back Bay East, Back Bay, Boston","$4,700",2 Bed,1.5 Bath
1768,"Coolidge Corner, Brookline","$3,000",2 Bed,1 Bath
1769,"West End, Boston","$2,730",1 Bed,1 Bath
1770,"Oak Square, Brighton, Boston","$2,500",3 Bed,1 Bath
1771,"Downtown Boston, Boston","$6,580",2 Bed,2 Bath
1772,"Huron Village, West Cambridge, Cambridge","$3,165",3 Bed,1.5 Bath
1773,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,350",1 Bed,1 Bath
1774,"St. Elizabeth's, Brighton, Boston","$2,175",2 Bed,1 Bath
1775,"Commonwealth, Brighton, Boston","$2,820",3 Bed,1.5 Bath
1776,"St. Elizabeth's, Brighton, Boston","$2,150",2 Bed,1 Bath
1777,"St. Elizabeth's, Brighton, Boston","$2,950",3 Bed,1 Bath
1778,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,800",3 Bed,1 Bath
1779,"Brookline Village, Brookline","$2,000",1 Bed,1 Bath
1780,"Mid-Cambridge, Cambridge","$2,399",1 Bed,1 Bath
1781,"East Cambridge, Cambridge","$3,973",2 Bed,2 Bath
1782,"Highland Park, Roxbury, Boston","$2,500",2 Bed,1 Bath
1783,"Lower Roxbury, Roxbury, Boston","$3,300",3 Bed,1 Bath
1784,"Coolidge Corner, Brookline","$3,300",2 Bed,2 Bath
1785,"Beacon Hill, Boston","$4,100",3 Bed,1 Bath
1786,"Nonantum, Newton","$2,400",2 Bed,2 Bath
1787,"Brookline Village, Brookline","$3,200",2 Bed,2 Bath
1788,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$5,800",4 Bed,2 Bath
1789,"Oak Square, Brighton, Boston","$3,800",5 Bed,2 Bath
1790,"Beacon Hill, Boston","$2,900",1 Bed,1 Bath
1791,"Huron Village, West Cambridge, Cambridge","$2,920",2 Bed,1 Bath
1792,"North End, Boston","$2,050",1 Bed,1 Bath
1793,"St. Elizabeth's, Brighton, Boston","$1,800",1 Bed,1 Bath
1794,"Brookline Village, Brookline","$4,075",4 Bed,2 Bath
1795,"St. Elizabeth's, Brighton, Boston","$3,100",4 Bed,1 Bath
1796,"Coolidge Corner, Brookline","$8,000",4 Bed,3.5 Bath
1797,"Lower Roxbury, Roxbury, Boston","$3,000",1 Bed,1 Bath
1798,"Oak Square, Brighton, Boston","$5,000",5 Bed,2 Bath
1799,"Spring Hill, Somerville","$1,950",1 Bed,1 Bath
1800,"East Cambridge, Cambridge","$4,060",2 Bed,2 Bath
1801,"North Cambridge, Cambridge","$2,373",1 Bed,1 Bath
1802,"North End, Boston","$3,700",2 Bed,1 Bath
1803,"Commonwealth, Brighton, Boston","$1,750",1 Bed,1 Bath
1804,"Mission Hill, Boston","$3,400",2 Bed,1 Bath
1805,"North End, Boston","$2,500",2 Bed,1 Bath
1806,"Allston, Boston","$4,600",6 Bed,2 Bath
1807,"St. Elizabeth's, Brighton, Boston","$2,900",3 Bed,1 Bath
1808,"Watertown West End, Watertown","$3,200",4 Bed,2 Bath
1809,"Oak Square, Brighton, Boston","$2,500",3 Bed,1 Bath
1810,"Watertown West End, Watertown","$2,500",3 Bed,1 Bath
1811,"Back Bay East, Back Bay, Boston","$4,900",2 Bed,1 Bath
1812,"Coolidge Corner, Brookline","$3,300",3 Bed,1 Bath
1813,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
1814,"North Allston, Allston, Boston","$2,400",2 Bed,1 Bath
1815,"Newton Corner, Newton","$2,800",3 Bed,2 Bath
1816,"North Allston, Allston, Boston","$2,600",4 Bed,1.5 Bath
1817,"Nonantum, Newton","$1,850",1 Bed,1 Bath
1818,"Back Bay East, Back Bay, Boston","$2,900",1 Bed,1 Bath
1819,"Coolidge Corner, Brookline","$4,500",2 Bed,1 Bath
1820,"Oak Square, Brighton, Boston","$2,450",3 Bed,1 Bath
1821,"North Cambridge, Cambridge","$2,373",1 Bed,1 Bath
1822,"North End, Boston","$3,700",2 Bed,1 Bath
1823,"Downtown Boston, Boston","$4,195",2 Bed,2 Bath
1824,"Downtown Boston, Boston","$3,090",1 Bed,2 Bath
1825,"Downtown Boston, Boston","$4,525",2 Bed,2 Bath
1826,"North Allston, Allston, Boston","$1,995",2 Bed,1 Bath
1827,"Mission Hill, Boston","$4,750",5 Bed,2 Bath
1828,"Allston, Boston","$3,895",4 Bed,1.5 Bath
1829,"Commonwealth, Brighton, Boston","$3,300",3 Bed,1 Bath
1830,"Coolidge Corner, Brookline","$6,700",5 Bed,3 Bath
1831,"Bowdoin North - Mount Bowdoin, Dorchester, Boston","$2,650",4 Bed,2 Bath
1832,"Oak Square, Brighton, Boston","$2,550",3 Bed,1.5 Bath
1833,"Coolidge Corner, Brookline","$3,700",3 Bed,2 Bath
1834,"Coolidge Corner, Brookline","$5,000",4 Bed,2 Bath
1835,"Coolidge Corner, Brookline","$2,500",1 Bed,1 Bath
1836,"Neponset - Port Norfolk, Dorchester, Boston","$2,200",2 Bed,1 Bath
1837,"Allston, Boston","$3,895",4 Bed,1.5 Bath
1838,"Allston, Boston","$3,895",4 Bed,2 Bath
1839,"Coolidge Corner, Brookline","$2,950",2 Bed,1 Bath
1840,"Coolidge Corner, Brookline","$2,039",1 Bed,1 Bath
1841,"Brookline Village, Brookline","$2,450",2 Bed,1 Bath
1842,"North End, Boston","$3,700",2 Bed,1 Bath
1843,"Downtown Boston, Boston","$4,195",2 Bed,2 Bath
1844,"Downtown Boston, Boston","$3,090",1 Bed,2 Bath
1845,"Downtown Boston, Boston","$4,525",2 Bed,2 Bath
1846,"Oak Square, Brighton, Boston","$2,400",3 Bed,1 Bath
1847,"Hyde Square, Jamaica Plain, Boston","$3,500",3 Bed,2 Bath
1848,"Coolidge Corner, Brookline","$4,500",4 Bed,2 Bath
1849,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,200",3 Bed,1 Bath
1850,"Oak Square, Brighton, Boston","$2,650",3 Bed,1 Bath
1851,"Lower Roxbury, Roxbury, Boston","$4,100",3 Bed,1 Bath
1852,"Back Bay West, Back Bay, Boston","$3,100",2 Bed,1 Bath
1853,"Medford Street - The Neck, Charlestown, Boston","$5,200",3 Bed,3 Bath
1854,"Lower Roxbury, Roxbury, Boston","$3,800",4 Bed,2 Bath
1855,"Beacon Hill, Boston","$4,000",3 Bed,1 Bath
1856,"Coolidge Corner, Brookline","$4,700",4 Bed,1 Bath
1857,"Mission Hill, Boston","$4,500",4 Bed,2 Bath
1858,"Allston, Boston","$6,600",6 Bed,3 Bath
1859,"Eagle Hill, East Boston, Boston","$2,600",3 Bed,1 Bath
1860,"Downtown Boston, Boston","$2,699",Studio,1 Bath
1861,"Downtown Boston, Boston","$4,195",2 Bed,2 Bath
1862,"Downtown Boston, Boston","$3,090",1 Bed,2 Bath
1863,"Downtown Boston, Boston","$4,525",2 Bed,2 Bath
1864,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,600",1 Bed,1 Bath
1865,"Downtown Boston, Boston","$3,850",1 Bed,1 Bath
1866,"North End, Boston","$2,600",1 Bed,1 Bath
1867,"Commonwealth, Brighton, Boston","$2,700",3 Bed,1 Bath
1868,"Highland Park, Roxbury, Boston","$3,900",4 Bed,2 Bath
1869,"Commonwealth, Brighton, Boston","$2,550",2 Bed,1 Bath
1870,"D Street - West Broadway, South Boston, Boston","$3,000",2 Bed,1 Bath
1871,"Allston, Boston","$3,148",1 Bed,1.5 Bath
1872,"North End, Boston","$3,700",2 Bed,1 Bath
1873,"North End, Boston","$3,500",3 Bed,1 Bath
1874,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,300",2 Bed,1 Bath
1875,"Mission Hill, Boston","$5,650",5 Bed,2 Bath
1876,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,753",1 Bed,1 Bath
1877,"Financial District, Downtown Boston, Boston","$3,000",1 Bed,1 Bath
1878,"Highland Park, Roxbury, Boston","$3,399",4 Bed,2 Bath
1879,"Mission Hill, Boston","$2,350",2 Bed,1 Bath
1880,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,100",1 Bed,1 Bath
1881,"Downtown Boston, Boston","$3,845",2 Bed,2 Bath
1882,"Downtown Boston, Boston","$2,725",1 Bed,1 Bath
1883,"Allston, Boston","$2,775",3 Bed,2 Bath
1884,"Oak Square, Brighton, Boston","$1,995",1 Bed,1 Bath
1885,"Allston, Boston","$2,000",1 Bed,1 Bath
1886,"North Allston, Allston, Boston","$3,000",3 Bed,1 Bath
1887,"Oak Square, Brighton, Boston","$1,700",1 Bed,1 Bath
1888,"Mid-Cambridge, Cambridge","$2,400",1 Bed,1 Bath
1889,"Riverside, Cambridge","$4,800",4 Bed,1.5 Bath
1890,"Allston, Boston","$2,800",3 Bed,1 Bath
1891,"Mission Hill, Boston","$3,300",3 Bed,1 Bath
1892,"Mission Hill, Boston","$4,700",4 Bed,2 Bath
1893,"Waban, Newton","$6,000",4 Bed,4 Bath
1894,"Oak Square, Brighton, Boston","$2,650",3 Bed,1 Bath
1895,"Coolidge Corner, Brookline","$3,250",2 Bed,1 Bath
1896,"Coolidge Corner, Brookline","$5,100",4 Bed,2 Bath
1897,"Back Bay East, Back Bay, Boston","$5,000",3 Bed,3 Bath
1898,"Coolidge Corner, Brookline","$5,900",4 Bed,2 Bath
1899,"West Fens, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,100",4 Bed,1 Bath
1900,"Allston, Boston","$4,500",4 Bed,2 Bath
1901,"Downtown Boston, Boston","$3,845",2 Bed,2 Bath
1902,"Downtown Boston, Boston","$2,725",1 Bed,1 Bath
1903,"Allston, Boston","$2,775",3 Bed,2 Bath
1904,"Commonwealth, Brighton, Boston","$3,495",4 Bed,2 Bath
1905,"Allston, Boston","$3,850",5 Bed,1.5 Bath
1906,"North End, Boston","$2,600",2 Bed,1 Bath
1907,"Oak Square, Brighton, Boston","$3,000",4 Bed,2 Bath
1908,"Back Bay East, Back Bay, Boston","$3,700",2 Bed,2 Bath
1909,"East Somerville, Somerville","$2,400",2 Bed,1 Bath
1910,"Allston, Boston","$3,895",4 Bed,1.5 Bath
1911,"Oak Square, Brighton, Boston","$5,000",5 Bed,2 Bath
1912,"St. Elizabeth's, Brighton, Boston","$5,500",6 Bed,2 Bath
1913,"Beacon Hill, Boston","$3,200",2 Bed,2 Bath
