,Neighborhood,Price,Number of Beds,Number of Baths
336,"Porter Square, Cambridge","$3,400",3 Bed,1.5 Bath
337,"Harrison Lenox, South End, Boston","$3,475",2 Bed,1 Bath
338,"Mission Hill, Boston","$5,100",5 Bed,2 Bath
339,"Allston, Boston","$5,500",6 Bed,2 Bath
340,"Beacon Hill, Boston","$2,800",2 Bed,1 Bath
341,Dracut,"$1,350",2 Bed,1.5 Bath
342,"Beacon Hill, Boston","$2,495",1 Bed,1 Bath
343,"Coolidge Corner, Brookline","$3,900",3 Bed,1 Bath
344,"Oak Square, Brighton, Boston","$2,850",3 Bed,1.5 Bath
345,"North Allston, Allston, Boston","$7,500",6 Bed,5 Bath
346,"D Street - West Broadway, South Boston, Boston","$5,500",4 Bed,2.5 Bath
347,"Allston, Boston","$5,115",2 Bed,2 Bath
348,"Oak Square, Brighton, Boston","$5,000",5 Bed,2 Bath
349,"Ward Two, Somerville","$3,200",3 Bed,1 Bath
350,"Hyde Square, Jamaica Plain, Boston","$2,900",2 Bed,1 Bath
351,"Commonwealth, Brighton, Boston","$3,200",3 Bed,1 Bath
352,"Cambridgeport, Cambridge","$4,500",3 Bed,2 Bath
353,"Allston, Boston","$6,300",6 Bed,3 Bath
354,"Prudential - St. Botolph, Back Bay, Boston","$5,399",3 Bed,2 Bath
355,"Egleston Square, Jamaica Plain, Boston","$2,700",2 Bed,1 Bath
356,"Commonwealth, Brighton, Boston","$4,500",5 Bed,2 Bath
357,"Commonwealth, Brighton, Boston","$1,850",1 Bed,1 Bath
358,"Commonwealth, Brighton, Boston","$1,795",1 Bed,1 Bath
359,"St. Elizabeth's, Brighton, Boston","$2,400",2 Bed,1 Bath
360,"Commonwealth, Brighton, Boston","$1,795",1 Bed,1 Bath
361,Dracut,"$1,350",2 Bed,1.5 Bath
362,"Brookline Village, Brookline","$3,825",4 Bed,1 Bath
363,"Brookline Village, Brookline","$2,700",2 Bed,1 Bath
364,"Mission Hill, Boston","$2,950",3 Bed,2 Bath
365,"Coolidge Corner, Brookline","$2,500",1 Bed,1 Bath
366,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
367,"Oak Square, Brighton, Boston","$2,900",3 Bed,1 Bath
368,"Oak Square, Brighton, Boston","$5,500",5 Bed,3.5 Bath
